,ipc,mpki,write_issue_diff,write_mode_time,miss_penalty,aat

povray,3.954736752234101,0.0444,nan,0.0,280.75,20.687499999999996
mcf,0.5071988959988594,27.34917124092826,1.9206,0.077591,706.25,448.125
namd,3.685369235865585,0.26300000000000007,0.88048,0.01269,228.125,26.962499999999995
fotonik3d,0.3659901515718994,25.400000000000006,2.0933,0.28192,588.375,587.25
cam4,2.3441109713459345,1.553734939759036,1.2383,0.24078,661.375,96.1125
deepsjeng,3.5795462313221376,0.286,0.82552,0.018543,218.5,61.3125
imagick,3.695348470736079,0.30699430752187234,1.3937,0.0033389,639.75,39.4
wrf,3.7542123093396746,0.302372573972184,0.96764,0.012105,265.625,36.1
parest,0.6940713601036816,22.211553507121355,1.9261,0.011814,407.75,268.0
leela,3.9338736250926263,0.0439,nan,0.0,294.625,23.425
lbm,0.24780345235760565,28.374933804060017,2.2547,0.45133,816.5,505.375
nab,3.169786407034406,0.621,0.77774,0.0013708,194.0,29.4875
blender,3.3924284054512532,1.05,0.79084,0.00074408,245.5,45.4875
cactuBSSN,1.606449292570883,3.577487778063671,2.2988,0.16862,898.875,51.4
perlbench,3.9523601755405116,0.08119999999999998,nan,0.0,212.0,135.125
x264,3.8503104675100217,0.22300000000000003,0.85465,8.5751e-05,220.375,195.75
xz,1.3386626235402699,4.764936924946171,1.7533,0.35931,492.875,247.5
gcc,3.461130048918485,0.5941214498339272,0.9017,0.11635,264.0,33.975
roms,1.067684966912889,7.633730531903143,1.9267,0.238,582.75,323.0
xalancbmk,1.915641569076503,1.9212443292287749,1.1617,0.32983,309.75,39.5625
omnetpp,0.7775142759109475,9.769997441144353,1.9691,0.32505,510.625,250.875
bwaves,0.25906477914394044,41.4,2.4101,0.063278,870.375,805.625
